timestamp,open,high,low,close,volume,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume
1702067580000.0,44090.0,44190.0,44090.0,44178.9,1850.354,81671600.54021,14902.0,1401.835,61875341.27991
1702067640000.0,44178.9,44178.9,44156.8,44175.3,450.52,19896729.5013,3708.0,188.142,8309056.2327
1702067700000.0,44175.3,44209.7,44132.2,44136.4,895.444,39558384.1022,7331.0,415.33,18351668.7853
1702067760000.0,44136.3,44144.5,44076.9,44112.2,554.926,24479198.7088,4922.0,200.156,8828591.2826
1702067820000.0,44112.1,44119.5,44080.0,44111.0,202.148,8914270.5823,2578.0,92.449,4076802.0963
1702067880000.0,44111.1,44115.7,44094.0,44101.9,156.328,6894614.7626,1701.0,106.705,4706079.8523
1702067940000.0,44101.8,44139.6,44099.4,44125.5,138.734,6121122.1349,1578.0,90.941,4012200.5588
1702068000000.0,44125.4,44187.0,44125.4,44187.0,229.664,10141344.4404,2447.0,171.034,7552239.6175
1702068060000.0,44187.0,44244.2,44187.0,44244.2,1113.91,49257329.01203,8728.0,797.459,35264772.96833
1702068120000.0,44244.1,44251.7,44216.0,44248.8,495.001,21898547.75612,3997.0,251.072,11107571.75762
1702068180000.0,44248.8,44275.5,44237.4,44267.0,773.074,34215633.7771,6101.0,462.801,20483301.7268
1702068240000.0,44267.0,44300.0,44248.0,44248.1,535.085,23692575.9327,4992.0,273.13,12095395.1165
1702068300000.0,44248.1,44254.2,44181.9,44187.7,687.14,30376516.5728,5289.0,152.299,6731956.2647
1702068360000.0,44187.7,44275.3,44179.5,44275.3,407.567,18027005.3967,3646.0,222.388,9836026.7176
1702068420000.0,44275.3,44287.4,44253.0,44279.1,209.179,9260460.1065,2512.0,110.08,4873304.0384
1702068480000.0,44279.1,44287.8,44251.2,44254.8,413.117,18288064.8876,2816.0,136.275,6032926.9442
1702068540000.0,44254.9,44276.9,44219.7,44269.8,274.23,12133512.0569,2852.0,105.552,4670883.3758
1702068600000.0,44269.9,44289.3,44256.0,44284.1,184.124,8151414.9673,2296.0,91.231,4039048.0681
1702068660000.0,44284.0,44295.4,44255.4,44278.2,421.461,18661292.8655,3183.0,159.191,7048242.0502
1702068720000.0,44278.1,44319.4,44275.1,44298.7,637.369,28233475.6708,4973.0,407.19,18038072.6434
1702068780000.0,44298.7,44301.0,44268.1,44299.0,176.43,7813925.9379,2190.0,61.096,2705943.7018
1702068840000.0,44299.0,44377.0,44297.4,44351.5,1223.086,54232632.35216,8176.0,822.093,36454313.08156
1702068900000.0,44351.6,44354.0,44309.7,44345.0,535.49,23743280.6241,4502.0,266.411,11812186.1796
1702068960000.0,44345.0,44400.0,44321.1,44387.9,815.619,36192346.6916,6690.0,540.341,23978905.6115
1702069020000.0,44389.9,44438.6,44385.0,44438.6,1059.449,47054092.48064,7572.0,697.561,30982019.91904
1702069080000.0,44438.5,44444.0,44380.1,44382.7,741.858,32954659.86341,5501.0,283.043,12575436.44141
1702069140000.0,44382.7,44402.0,44350.0,44393.2,822.989,36516703.4277,5371.0,428.51,19013735.6372
1702069200000.0,44393.1,44396.3,44356.2,44359.6,558.995,24805659.5664,4444.0,281.802,12505680.9327
1702069260000.0,44359.6,44384.5,44353.5,44382.1,274.629,12184637.4766,2737.0,166.29,7377788.2582
1702069320000.0,44382.2,44394.6,44379.4,44391.2,184.763,8201269.6865,2018.0,102.98,4571118.6135
1702069380000.0,44391.3,44391.3,44290.0,44308.1,744.664,33007011.2544,5957.0,174.634,7741363.2395
1702069440000.0,44308.0,44347.0,44300.5,44331.8,321.066,14230172.3217,3029.0,139.081,6164231.433
1702069500000.0,44331.7,44331.7,44256.9,44270.6,650.543,28807358.1688,4832.0,132.218,5854922.0835
1702069560000.0,44270.7,44320.0,44270.6,44320.0,311.072,13779754.173,2596.0,166.526,7376625.9713
1702069620000.0,44320.0,44324.0,44260.5,44274.1,405.444,17957017.2143,3198.0,128.935,5709555.4581
1702069680000.0,44274.2,44300.0,44261.5,44296.5,228.214,10105473.7433,2493.0,122.41,5420240.9519
1702069740000.0,44296.4,44331.7,44290.3,44331.7,119.561,5298365.7547,1587.0,91.968,4075726.7324
1702069800000.0,44331.7,44356.1,44323.0,44350.7,384.372,17042756.934,3276.0,236.714,10495689.6727
1702069860000.0,44350.7,44367.4,44324.4,44350.4,309.97,13747220.4107,2515.0,132.985,5897957.1214
1702069920000.0,44350.3,44352.6,44311.9,44335.9,331.444,14693876.3082,3000.0,124.555,5522049.0319
1702069980000.0,44335.9,44348.5,44323.5,44348.5,89.85,3983606.2614,1271.0,51.993,2305197.366
1702070040000.0,44348.5,44366.4,44336.0,44355.6,126.747,5621736.264,1739.0,66.948,2969391.5987
1702070100000.0,44355.6,44374.0,44348.8,44348.8,155.939,6917738.4143,1837.0,79.182,3512783.9157
